,Judul,Lokasi,Kamar,Toilet,Luas,Harga
134,Buahbatu Regency,"Jl. Terusan Buah Batu, Buah Batu, Bandung, Buahbatu, Bandung, Jawa Barat",3 ,1 ,50 m²,252 jt
135,Margahayu Permai,". Jl. Kopo, Kopo, Bandung, Jawa Barat",2 ,1 ,36 m²,170 jt
136,Kopo Permai,". Jl. Raya Cibaduyut, Kopo, Bandung, Jawa Barat",2 ,1 ,40 m²,260 jt
137,Taman Kopo Katapang,"Jl Terusan Kopo KM 12,8, Soreang, Bandung, Soreang, Bandung, Jawa Barat",2 ,1 ,40 m²,260 jt
138,Rancamanyar,"Jln.andir katapang, Baleendah, Bandung, Jawa Barat",2 ,1 ,40 m²,230 jt
139,JUNGKIR HARGA KOSAN RUKO RUMAH PASIR IMPUN ISTIMEWA BANDUNG,"Pasir impun, Bandung Timur, Bandung, Jawa Barat",10 ,10 ,1000 m²,5 M
140,DIJUAL CEPAT RUMAH KOKOH TURANGGA GATOT SUBROTO,"Gumuruh, Batununggal, Bandung, Jawa Barat",6 ,5 ,350 m²,"3,6 M"
141,Soekarno hatta,"Soekarno Hatta, Panyileukan, Bandung, Jawa Barat",3 ,2 ,68 m²,"837,5 jt"
142,Perumahan Permata Kencana,"Jln. terusan jatimekar bandung selatan, Bandung Selatan, Bandung, Jawa Barat",2 ,1 ,40 m²,300 jt
143,Di Jual Rumah Murah Dekat Kopo,"Jalan Cicangkudu Sukamukti Katapang, Bandung Selatan, Bandung, Jawa Barat",2 ,1 ,45 m²,200 jt
144,Di Jual Rumah Murah Dekat Pusat Kota Harga 150 Jutaan,"Jalan Cicangkudu Sukamukti Katapang, Katapang, Bandung, Jawa Barat",2 ,1 ,36 m²,145 jt
145,Buahbatu,"Salendro, Buahbatu, Bandung, Jawa Barat",,,200 m²,"1,85 M"
146,G-Land Padalarang Valley,"Komp. Kopo Plaza, Jl. Peta, Suka Asih, Bojongloa Kaler, Bandung, Jawa Barat",3 ,2 ,36 m²,400 jt
147,Bandung,"Kinderdorf, Bandung Utara, Bandung, Jawa Barat",2 ,2 ,50 m²,697 jt
148,Rumah Bagus dkt Exit Tol Buah Batu Komp. Batu Indah dpn Batununggal,". Batu Indah Buah Batu, Buahbatu, Bandung, Jawa Barat",5 ,5 ,230 m²,"2,9 M"
149,Jual Rumah Baru Murah Banget di Arcamanik Kota Bandung,"Arcamanik, Bandung, Jawa Barat",2 ,1 ,47 m²,675 jt
150,"Dijual MURAH Rumah TINGKAT STRATEGIS dekat Sekolah, UIN, UPI Cibiru, Pasar, Cicaheum, SHM di Bandung","Bandung Timur, Bandung, Jawa Barat",2 ,1 ,42 m²,"2,98 jt"
151,Cisaranten Arcamanik,"Arcamanik, Bandung, Jawa Barat",2 ,1 ,50 m²,680 jt
152,Dijual Rumah 100 Jutaan Daerah Bandung,"Jalan Cimekar, Cileunyi, Bandung, Jawa Barat",1 ,1 ,30 m²,197 jt
153,Cibaduyut Permai,"Jl Raya Cibaduyut, Cibaduyut, Bojongloa Kidul, Bojongloa Kidul, Bandung, Jawa Barat",2 ,1 ,36 m²,222 jt
154,Permata Kopo,"Jl. Sukamenak, Sukamenak, Bandung, Margahayu, Bandung, Jawa Barat",2 ,1 ,30 m²,300 jt
155,Cluster alma'as 3,"Jln Bojong Sukamukti Katapang, Kopo Permai, Bandung, Jawa Barat",2 ,1 ,36 m²,200 jt
156,Alma'as 3,"Jl Bojong sukamukti Katapang, Kopo Permai, Bandung, Jawa Barat",2 ,1 ,50 m²,285 jt
157,Bandung,"Jln Katapang andir, Bandung Selatan, Bandung, Jawa Barat",2 ,1 ,80 m²,400 jt
158,Alma'as 3,"Jln Bojong sukamukti Katapang, Kopo Permai, Bandung, Jawa Barat",3 ,2 ,70 m²,440 jt
